item_id,item_name,brand,quantity,location
P-SYN-0000000,Protein Shake,PeakFuel,5,Fridge
P-SYN-0000001,Fresh Salad Mix,PureRoot,2,Freezer
P-SYN-0000002,Chicken Nuggets,SunBite,9,Fridge
P-SYN-0000003,Granola Bars,Green Valley,9,Pantry
P-SYN-0000004,Organic Spinach,PureRoot,8,Pantry
P-SYN-0000005,Greek Yogurt,SunBite,5,Fridge
P-SYN-0000006,Chicken Nuggets,PeakFuel,7,Pantry
P-SYN-0000007,Frozen Dumplings,TrailJoy,6,Pantry
P-SYN-0000008,Greek Yogurt,PureRoot,11,Freezer
P-SYN-0000009,Granola Bars,PureRoot,10,Pantry
P-SYN-0000010,Protein Shake,PureRoot,12,Pantry
P-SYN-0000011,Chicken Nuggets,PeakFuel,9,Freezer
P-SYN-0000012,Granola Bars,SunBite,6,Freezer
P-SYN-0000013,Granola Bars,UrbanHarvest,11,Fridge
P-SYN-0000014,Frozen Dumplings,SunBite,10,Fridge
P-SYN-0000015,Greek Yogurt,Green Valley,11,Freezer
P-SYN-0000016,Whole Milk,TrailJoy,12,Freezer
P-SYN-0000017,Organic Spinach,UrbanHarvest,2,Fridge
P-SYN-0000018,Chicken Nuggets,SunBite,7,Pantry
P-SYN-0000019,Organic Spinach,TrailJoy,10,Pantry
P-SYN-0000020,Fresh Salad Mix,TrailJoy,7,Freezer
P-SYN-0000021,Protein Shake,PureRoot,12,Pantry
P-SYN-0000022,Greek Yogurt,SunBite,9,Pantry
P-SYN-0000023,Granola Bars,UrbanHarvest,6,Pantry
P-SYN-0000024,Organic Spinach,PureRoot,8,Fridge
P-SYN-0000025,Organic Spinach,Green Valley,10,Pantry
P-SYN-0000026,Granola Bars,FarmNest,5,Pantry
P-SYN-0000027,Granola Bars,FarmNest,1,Freezer
P-SYN-0000028,Fresh Salad Mix,PureRoot,11,Freezer
P-SYN-0000029,Fresh Salad Mix,PureRoot,8,Freezer
P-SYN-0000030,Organic Spinach,UrbanHarvest,7,Freezer
P-SYN-0000031,Greek Yogurt,Green Valley,5,Freezer
P-SYN-0000032,Fresh Salad Mix,UrbanHarvest,8,Freezer
P-SYN-0000033,Whole Milk,Green Valley,10,Freezer
P-SYN-0000034,Granola Bars,UrbanHarvest,4,Fridge
P-SYN-0000035,Organic Spinach,PureRoot,3,Fridge
P-SYN-0000036,Whole Milk,PeakFuel,7,Freezer
P-SYN-0000037,Greek Yogurt,FarmNest,7,Freezer
P-SYN-0000038,Granola Bars,Green Valley,2,Freezer
P-SYN-0000039,Whole Milk,UrbanHarvest,4,Fridge
P-SYN-0000040,Organic Spinach,PureRoot,3,Fridge
P-SYN-0000041,Frozen Dumplings,FarmNest,3,Freezer
P-SYN-0000042,Greek Yogurt,DailySource,7,Freezer
P-SYN-0000043,Chicken Nuggets,PeakFuel,7,Fridge
P-SYN-0000044,Whole Milk,SunBite,7,Fridge
P-SYN-0000045,Frozen Dumplings,SunBite,3,Freezer
P-SYN-0000046,Frozen Dumplings,SunBite,6,Pantry
P-SYN-0000047,Granola Bars,PureRoot,1,Fridge
P-SYN-0000048,Organic Spinach,SunBite,8,Pantry
P-SYN-0000049,Fresh Salad Mix,DailySource,12,Freezer
P-SYN-0000050,Greek Yogurt,TrailJoy,2,Fridge
P-SYN-0000051,Whole Milk,DailySource,1,Freezer
P-SYN-0000052,Chicken Nuggets,FarmNest,12,Freezer
P-SYN-0000053,Granola Bars,FarmNest,11,Freezer
P-SYN-0000054,Frozen Dumplings,FarmNest,12,Fridge
P-SYN-0000055,Greek Yogurt,Green Valley,4,Pantry
P-SYN-0000056,Granola Bars,TrailJoy,12,Freezer
P-SYN-0000057,Whole Milk,TrailJoy,7,Freezer
P-SYN-0000058,Fresh Salad Mix,Green Valley,8,Pantry
P-SYN-0000059,Whole Milk,FarmNest,6,Freezer
P-SYN-0000060,Greek Yogurt,PeakFuel,3,Fridge
P-SYN-0000061,Protein Shake,UrbanHarvest,5,Freezer
P-SYN-0000062,Granola Bars,Green Valley,1,Pantry
P-SYN-0000063,Fresh Salad Mix,PeakFuel,5,Pantry
P-SYN-0000064,Whole Milk,PeakFuel,11,Freezer
