recall_id,event_date,product_name,brand,reason,classification,states
R-SYN-0000000,2026-01-09,Frozen Dumplings,Green Valley,Possible metal fragments,I,UT;TX
R-SYN-0000001,2026-01-15,Fresh Salad Mix,Green Valley,Potential E. coli contamination,I,CA;WA;AZ;NV
R-SYN-0000002,2026-01-01,Fresh Salad Mix,TrailJoy,Listeria monocytogenes risk,II,NY;NV
R-SYN-0000003,2026-02-16,Granola Bars,FarmNest,Undeclared peanut allergen,III,NV;TX
R-SYN-0000004,2026-02-14,Whole Milk,PeakFuel,Potential E. coli contamination,II,TX;OR;NV
R-SYN-0000005,2026-01-10,Whole Milk,TrailJoy,Potential E. coli contamination,I,TX;WA;NV
R-SYN-0000006,2026-03-19,Fresh Salad Mix,PeakFuel,Listeria monocytogenes risk,II,AZ;WA;UT
R-SYN-0000007,2026-02-25,Frozen Dumplings,FarmNest,Packaging integrity issue,II,OR;WA;AZ
R-SYN-0000008,2026-02-18,Organic Spinach,TrailJoy,Potential E. coli contamination,III,WA;AZ
R-SYN-0000009,2026-03-04,Chicken Nuggets,PureRoot,Listeria monocytogenes risk,I,UT;OR;AZ;CO
R-SYN-0000010,2026-02-05,Fresh Salad Mix,UrbanHarvest,Undeclared peanut allergen,III,TX;CA;NV
R-SYN-0000011,2026-03-17,Greek Yogurt,FarmNest,Listeria monocytogenes risk,II,CO;OR;UT;CA
R-SYN-0000012,2026-01-03,Frozen Dumplings,PeakFuel,Possible metal fragments,I,CA;OR;CO
R-SYN-0000013,2025-12-24,Greek Yogurt,SunBite,Possible metal fragments,III,NY;AZ
R-SYN-0000014,2025-12-24,Greek Yogurt,Green Valley,Packaging integrity issue,I,ALL
R-SYN-0000015,2025-12-03,Whole Milk,PeakFuel,Undeclared peanut allergen,I,TX;CO
R-SYN-0000016,2025-12-17,Frozen Dumplings,FarmNest,Undeclared peanut allergen,II,OR;NV
R-SYN-0000017,2026-03-04,Protein Shake,PeakFuel,Listeria monocytogenes risk,III,UT;CO;CA
R-SYN-0000018,2026-02-28,Protein Shake,SunBite,Possible metal fragments,I,WA;CA;CO;AZ
R-SYN-0000019,2026-01-10,Organic Spinach,TrailJoy,Potential E. coli contamination,III,UT;WA
R-SYN-0000020,2026-02-24,Chicken Nuggets,TrailJoy,Packaging integrity issue,I,CO;WA;NV;UT
R-SYN-0000021,2025-12-18,Fresh Salad Mix,TrailJoy,Potential E. coli contamination,I,NV;CO;UT
R-SYN-0000022,2025-12-28,Organic Spinach,SunBite,Potential E. coli contamination,II,WA;UT
R-SYN-0000023,2026-03-07,Chicken Nuggets,FarmNest,Listeria monocytogenes risk,I,CO;TX
R-SYN-0000024,2026-03-25,Organic Spinach,SunBite,Undeclared peanut allergen,I,NV;CA
R-SYN-0000025,2026-03-10,Fresh Salad Mix,Green Valley,Listeria monocytogenes risk,I,OR;NV;AZ
R-SYN-0000026,2025-12-28,Chicken Nuggets,FarmNest,Undeclared peanut allergen,I,UT;CA;AZ;NY
R-SYN-0000027,2026-03-24,Organic Spinach,DailySource,Packaging integrity issue,III,UT;TX
R-SYN-0000028,2025-12-13,Greek Yogurt,SunBite,Packaging integrity issue,I,TX;WA;OR
R-SYN-0000029,2026-01-14,Organic Spinach,SunBite,Listeria monocytogenes risk,II,OR;WA;AZ
R-SYN-0000030,2025-12-30,Whole Milk,TrailJoy,Possible metal fragments,II,CO;AZ;NV
R-SYN-0000031,2025-12-02,Frozen Dumplings,Green Valley,Listeria monocytogenes risk,II,TX;WA
R-SYN-0000032,2026-01-26,Granola Bars,FarmNest,Possible metal fragments,III,OR;NY;WA
R-SYN-0000033,2025-12-15,Granola Bars,Green Valley,Packaging integrity issue,I,OR;TX
R-SYN-0000034,2025-12-08,Frozen Dumplings,FarmNest,Possible metal fragments,I,WA;OR;CO
R-SYN-0000035,2026-01-28,Granola Bars,Green Valley,Potential E. coli contamination,II,CA;AZ
R-SYN-0000036,2025-12-23,Greek Yogurt,PeakFuel,Undeclared peanut allergen,II,UT;CA;CO
R-SYN-0000037,2026-03-22,Greek Yogurt,Green Valley,Possible metal fragments,II,CA;OR
R-SYN-0000038,2026-02-13,Organic Spinach,UrbanHarvest,Undeclared peanut allergen,II,UT;NV;OR
R-SYN-0000039,2025-12-26,Greek Yogurt,TrailJoy,Undeclared peanut allergen,III,CA;NY;AZ
R-SYN-0000040,2025-12-03,Whole Milk,PureRoot,Undeclared peanut allergen,I,NV;CA
R-SYN-0000041,2025-12-12,Chicken Nuggets,TrailJoy,Undeclared peanut allergen,III,WA;UT;CA
R-SYN-0000042,2026-01-06,Protein Shake,PureRoot,Possible metal fragments,I,ALL
R-SYN-0000043,2025-12-23,Granola Bars,UrbanHarvest,Packaging integrity issue,II,AZ;CA;CO;NY
R-SYN-0000044,2026-03-09,Granola Bars,Green Valley,Potential E. coli contamination,II,NV;TX;WA
R-SYN-0000045,2025-12-06,Protein Shake,PeakFuel,Potential E. coli contamination,II,ALL
R-SYN-0000046,2025-12-03,Protein Shake,UrbanHarvest,Listeria monocytogenes risk,I,AZ;TX;UT
R-SYN-0000047,2025-12-06,Granola Bars,PeakFuel,Listeria monocytogenes risk,I,NY;WA;CO;AZ
R-SYN-0000048,2025-12-01,Fresh Salad Mix,FarmNest,Packaging integrity issue,II,OR;UT
R-SYN-0000049,2026-03-05,Fresh Salad Mix,UrbanHarvest,Listeria monocytogenes risk,II,CO;NY;AZ;CA
R-SYN-0000050,2026-02-23,Whole Milk,SunBite,Undeclared peanut allergen,II,NY;CA
R-SYN-0000051,2026-03-26,Protein Shake,DailySource,Packaging integrity issue,III,ALL
R-SYN-0000052,2026-02-06,Protein Shake,PureRoot,Listeria monocytogenes risk,II,CA;TX;NV;WA
R-SYN-0000053,2026-03-03,Greek Yogurt,DailySource,Potential E. coli contamination,II,CO;NY
R-SYN-0000054,2025-12-19,Chicken Nuggets,UrbanHarvest,Listeria monocytogenes risk,II,NV;CO;TX;AZ
R-SYN-0000055,2025-12-11,Chicken Nuggets,DailySource,Possible metal fragments,II,UT;CO;AZ
R-SYN-0000056,2026-03-01,Granola Bars,DailySource,Potential E. coli contamination,II,AZ;TX;CO
R-SYN-0000057,2026-03-12,Protein Shake,PureRoot,Undeclared peanut allergen,II,ALL
